,TickerID,Symbol,Name,Occurrence,Positive,Negative
0,913253340,TCCO,Technical Comm,4,3,1
1,913303716,ATNM,ACTINIUM PHARMAC,52,32,20
2,913303741,ARMP,Armata Pharmaceuticals Inc,3,3,0
3,913303798,IDN,INTELLICHECK,3,3,0
4,913303872,UUU,UNIV SEC INSTR,3,3,0
5,925170974,YTRA,Yatra Online,3,3,0
6,925194354,BYSI,BeyondSpring,3,3,0
7,925237429,KRMD,Repro Med System,3,3,0
8,925402060,ZOM,Zomed Pharm,84,60,24
9,950102389,NKLA,Nikola Corporation,99,51,48
10,913253479,AKTX,Akari,1,0,1
11,913253654,SHIP,Seanergy,44,15,29
12,913255766,TNXP,Tonix,3,1,2
13,913431418,NOVN,Novan,2,0,2
14,925117488,GNUS,Genius Brands,223,90,133
15,913244544,USO,United States Oil,45,24,21
16,913247321,JNUG,Direxion Daily Jr Gld Mnrs Bull 2X ETF,37,23,14
17,913254192,MARK,Remark Holdings,71,46,25
18,913255088,CHK,Chesapeake Enrgy,30,19,11
19,913255171,DAL,Delta Air,59,35,24
20,913255666,NCLH,Nrwn Crs Ln Hldg,35,22,13
21,913257561,NVDA,Nvidia,33,21,12
22,950122583,LK,Luckin Coffee,78,41,37
23,950153166,DKNG,DraftKings Inc,43,24,19
24,913324442,TNK,Teekay Tankers,1,0,1
25,913254165,TOPS,Top Ships,25,13,12
26,913243251,SPY,SPDR® S&P 500 ETF Trust,202,101,101
27,913254830,HTZ,Hertz Glo Hldg,178,87,91
28,913255078,CCL,Carnivl,48,28,20
29,913255655,SAVE,Spirit Airlines,17,5,12
30,913256135,AAPL,Apple,181,100,81
31,913323997,MSFT,Microsoft,51,32,19
32,925376726,ROKU,Roku,31,14,17
33,913255275,F,Ford Motor,52,27,25
34,913255447,JPM,JPMorgan,8,1,7
35,913255598,TSLA,TESLA,261,140,121
36,913323111,JPM PRG,JPMORGAN CHASE,2,0,2
37,913253515,EFOI,Energy Foc,8,7,1
38,925299128,ACB,Aurora Cannabis,130,71,59
39,950060046,BE,Bloom Energy,2,2,0
40,950076017,NIO,NIO Inc.,25,20,5
41,913303672,IBIO,IBIO,16,13,3
42,925178405,MGEN,Miragen Therapeutics,8,3,5
43,913253338,XSPA,XPRESSPA GROUP,47,29,18
44,913253350,GLBS,Globus Maritime,3,2,1
45,950106773,TBLT,Toughbuilt Industries,3,2,1
46,913255467,KR,Kroger,21,11,10
47,913246052,TVIX,VelocityShares Daily 2x VIX ST ETN,68,38,30
48,913253685,CARV,Carver Bancorp,7,3,4
49,913257027,NFLX,Netflix,26,7,19
50,916040668,BRK.B,Berkshire Hatha,1,0,1
51,913253384,CLIR,ClearSign Technologies Corp,14,11,3
52,913254234,MTSL,MER TELEMANAG,13,13,0
53,925418530,IQ,IQIYI Inc,11,11,0
54,950052430,SPCE,Virgin Galactic Holdings Inc,79,51,28
55,913254245,AXAS,Abraxas Petro,17,6,11
56,913256180,AMZN,Amazon.com,57,36,21
57,913256131,ZN,Zion Oil and Gas,71,32,39
58,913354088,NDX,NASDAQ 100 Index,2,2,0
59,913354090,IXIC,NASDAQ,2,1,1
60,913354362,INX,S&P 500,3,2,1
61,950118416,DOW,Dow Inc,5,1,4
62,913323899,NE,Noble Corp,5,0,5
63,925338433,FORW,Forwardly Inc,4,1,3
64,913303875,WYY,WIDEPOINT,5,1,4
65,925239342,VRME,VerifyMe,2,0,2
66,925286359,ROSE,Rosehill,3,1,2
67,925415125,FAMI,Farmmi,7,1,6
68,913255859,NERV,Minerva,6,3,3
69,913253680,BYFC,Broadway Finl,3,0,3
70,913254871,ORN,Orion Grp Hldg,3,0,3
71,913255004,BBX,BBX Capital Corp,3,0,3
72,913256024,ALPN,Alpine Immune,3,0,3
73,913303894,REXN,REXAHN PHARMA,3,0,3
74,919226054,IDEX,Ideanomics Inc,24,13,11
75,925347616,HUSN,Hudson Capital Inc,5,0,5
76,925381596,AESE,Allied Esports Entertainment,5,0,5
77,913254269,OAS,OASIS PETROLEUM,59,30,29
78,913254998,BA,Boeing,97,53,44
79,913255803,AAL,American Airlines,61,28,33
80,913303886,HUSA,HOUSTON AMERICAN,6,2,4
81,913255820,NVFY,Nova LifeStyle,6,3,3
82,913254235,AMD,AMD,71,31,40
83,950102542,MRNA,Moderna,51,32,19
84,913324546,WLL,Whiting Petrol,54,36,18
85,913253467,TRCH,Torchlight,1,0,1
